ID,q1,q3,V0,T0,c0,N_frac,R,Delta_viable,Delta_total
39,0.042544499,3.899701686,0.005,0.995,0.371295713,5,0.5,-94.3974912562814,-6.4049036
40,0.884550403,9.949152422,0.005,0.995,0.027620414,5,0.1,-28.5184152763819,-0.61639859999999
40,0.884550403,9.949152422,0.005,0.995,0.027620414,5,0.2,-41.4319055276382,-0.979247999999999
40,0.884550403,9.949152422,0.005,0.995,0.027620414,5,0.3,-47.8550407035176,-1.1692521
40,0.884550403,9.949152422,0.005,0.995,0.027620414,5,0.4,-52.5032182914573,-1.3530888
40,0.884550403,9.949152422,0.005,0.995,0.027620414,5,0.5,-53.5455794974874,-1.3699148
41,1.229076979,3.34757598,0.005,0.995,0.020033149,5,0.1,-24.3024850251256,-1.9149763
41,1.229076979,3.34757598,0.005,0.995,0.020033149,5,0.2,-36.4373551758794,-3.06415509999999
41,1.229076979,3.34757598,0.005,0.995,0.020033149,5,0.3,-42.6870029145729,-3.7339305
41,1.229076979,3.34757598,0.005,0.995,0.020033149,5,0.4,-47.1537394974874,-4.23824869999999
41,1.229076979,3.34757598,0.005,0.995,0.020033149,5,0.5,-48.2340469346734,-4.36393430000001
42,1.818755115,5.094978065,0.005,0.995,0.013626493,5,0.1,-18.591408241206,-1.5500206
42,1.818755115,5.094978065,0.005,0.995,0.013626493,5,0.2,-29.1356813065327,-2.79246399999998
42,1.818755115,5.094978065,0.005,0.995,0.013626493,5,0.3,-34.6818683417085,-3.46417629999999
42,1.818755115,5.094978065,0.005,0.995,0.013626493,5,0.4,-38.7009378894472,-4.0518956
42,1.818755115,5.094978065,0.005,0.995,0.013626493,5,0.5,-39.7540781909548,-4.26272089999999
43,1.170997283,5.609397345,0.005,0.995,0.021005892,5,0.1,-24.325655678392,-1.14162780000001
43,1.170997283,5.609397345,0.005,0.995,0.021005892,5,0.2,-36.3127555778894,-1.8297315
43,1.170997283,5.609397345,0.005,0.995,0.021005892,5,0.3,-42.4402451256281,-2.2325626
