ID,q1,q3,V0,T0,c0,N_frac,R,Beta,Kappa0,Delta_viable,Delta_total,Delta_V
2,0.986042397279805,9.8877741693265,0.00275,0.293060386995214,0.0058678916499017,5,0.4,0.01,1e-07,-86.939606912261,-55.030489700305,-85.3714669487551
2,0.986042397279805,9.8877741693265,0.00275,0.293060386995214,0.0058678916499017,5,0.5,0.001,1e-07,-17.1185839847694,-8.18048819568906,-15.8015388943709
2,0.986042397279805,9.8877741693265,0.00275,0.293060386995214,0.0058678916499017,5,0.5,0.003,1e-07,-42.2252113749927,-20.7355945340057,-39.8813378653331
2,0.986042397279805,9.8877741693265,0.00275,0.293060386995214,0.0058678916499017,5,0.5,0.005,1e-07,-59.0502237000265,-29.845854947407,-56.6129117520091
2,0.986042397279805,9.8877741693265,0.00275,0.293060386995214,0.0058678916499017,5,0.5,0.007,1e-07,-70.5215578803196,-36.658082656225,-68.3016416266329
2,0.986042397279805,9.8877741693265,0.00275,0.293060386995214,0.0058678916499017,5,0.5,0.009,1e-07,-78.4440659617074,-41.8594156103224,-76.5157843462324
2,0.986042397279805,9.8877741693265,0.00275,0.293060386995214,0.0058678916499017,5,0.5,0.01,1e-07,-81.4538380733706,-44.0014907142625,-79.6689563603128
3,0.0101549783075906,8.73460476097133,0.00275,0.432470004791257,0.00639067474700556,5,0.1,0.001,1e-07,-59.8485119131058,-54.1581653369692,-50.5539679902087
3,0.0101549783075906,8.73460476097133,0.00275,0.432470004791257,0.00639067474700556,5,0.1,0.003,1e-07,-90.2973211868881,-85.3062918002304,-86.9489362483926
3,0.0101549783075906,8.73460476097133,0.00275,0.432470004791257,0.00639067474700556,5,0.1,0.005,1e-07,-97.0283993313361,-93.9445080007065,-95.8948766813498
3,0.0101549783075906,8.73460476097133,0.00275,0.432470004791257,0.00639067474700556,5,0.1,0.007,1e-07,-98.8721477996105,-96.920515150128,-98.4182050072153
3,0.0101549783075906,8.73460476097133,0.00275,0.432470004791257,0.00639067474700556,5,0.1,0.009,1e-07,-99.4790348279232,-98.134748961132,-99.2599664134773
3,0.0101549783075906,8.73460476097133,0.00275,0.432470004791257,0.00639067474700556,5,0.1,0.01,1e-07,-99.6227383949062,-98.4701843595083,-99.4607320705388
3,0.0101549783075906,8.73460476097133,0.00275,0.432470004791257,0.00639067474700556,5,0.2,0.001,1e-07,-39.0573918229099,-30.5550065933744,-30.6329342888665
3,0.0101549783075906,8.73460476097133,0.00275,0.432470004791257,0.00639067474700556,5,0.2,0.003,1e-07,-72.468929228134,-58.5111861610987,-65.5190254582715
3,0.0101549783075906,8.73460476097133,0.00275,0.432470004791257,0.00639067474700556,5,0.2,0.005,1e-07,-86.0391357531786,-71.8842985269458,-81.7361213433474
3,0.0101549783075906,8.73460476097133,0.00275,0.432470004791257,0.00639067474700556,5,0.2,0.007,1e-07,-92.2331994085215,-79.1892465484973,-89.5597726905799
3,0.0101549783075906,8.73460476097133,0.00275,0.432470004791257,0.00639067474700556,5,0.2,0.009,1e-07,-95.2864481877504,-83.4913471120048,-93.5318689450231
3,0.0101549783075906,8.73460476097133,0.00275,0.432470004791257,0.00639067474700556,5,0.2,0.01,1e-07,-96.2142245770442,-84.9836109145448,-94.7573668534341
3,0.0101549783075906,8.73460476097133,0.00275,0.432470004791257,0.00639067474700556,5,0.3,0.001,1e-07,-28.3666734984711,-19.0631243452385,-22.0408826503465
3,0.0101549783075906,8.73460476097133,0.00275,0.432470004791257,0.00639067474700556,5,0.3,0.003,1e-07,-59.1250366521356,-40.1392395325145,-51.7491690325
3,0.0101549783075906,8.73460476097133,0.00275,0.432470004791257,0.00639067474700556,5,0.3,0.005,1e-07,-75.0296281259968,-52.2255672592087,-69.1837492962085
3,0.0101549783075906,8.73460476097133,0.00275,0.432470004791257,0.00639067474700556,5,0.3,0.007,1e-07,-83.9418401273261,-59.9488734453515,-79.5697197080436
3,0.0101549783075906,8.73460476097133,0.00275,0.432470004791257,0.00639067474700556,5,0.3,0.009,1e-07,-89.1677728384327,-65.1574505107413,-85.8839343957843
3,0.0101549783075906,8.73460476097133,0.00275,0.432470004791257,0.00639067474700556,5,0.3,0.01,1e-07,-90.946614588546,-67.1349205696549,-88.0754923537524
3,0.0101549783075906,8.73460476097133,0.00275,0.432470004791257,0.00639067474700556,5,0.4,0.001,1e-07,-22.7949009357905,-13.5250305048343,-17.9085889585116
3,0.0101549783075906,8.73460476097133,0.00275,0.432470004791257,0.00639067474700556,5,0.4,0.003,1e-07,-50.8731624655646,-30.0232749964238,-44.0761730741985
3,0.0101549783075906,8.73460476097133,0.00275,0.432470004791257,0.00639067474700556,5,0.4,0.005,1e-07,-67.2952214086217,-40.2841957318929,-61.2046548960956
3,0.0101549783075906,8.73460476097133,0.00275,0.432470004791257,0.00639067474700556,5,0.4,0.007,1e-07,-77.4915010421464,-47.2986575374618,-72.4928366125336
3,0.0101549783075906,8.73460476097133,0.00275,0.432470004791257,0.00639067474700556,5,0.4,0.009,1e-07,-84.0273912147086,-52.3228769071725,-80.0037830453611
3,0.0101549783075906,8.73460476097133,0.00275,0.432470004791257,0.00639067474700556,5,0.4,0.01,1e-07,-86.3912949620033,-54.3119596453437,-82.7773309346269
3,0.0101549783075906,8.73460476097133,0.00275,0.432470004791257,0.00639067474700556,5,0.5,0.001,1e-07,-18.7672696091668,-9.88665177848339,-15.0102059738327
3,0.0101549783075906,8.73460476097133,0.00275,0.432470004791257,0.00639067474700556,5,0.5,0.003,1e-07,-44.0323640622388,-22.8485045148946,-38.100201305748
3,0.0101549783075906,8.73460476097133,0.00275,0.432470004791257,0.00639067474700556,5,0.5,0.005,1e-07,-60.1672167436494,-31.3695197602208,-54.3372482212785
3,0.0101549783075906,8.73460476097133,0.00275,0.432470004791257,0.00639067474700556,5,0.5,0.007,1e-07,-70.9724632091277,-37.4503159020728,-65.8182001486635
3,0.0101549783075906,8.73460476097133,0.00275,0.432470004791257,0.00639067474700556,5,0.5,0.009,1e-07,-78.3966604888181,-41.9755665758802,-73.9903180731621
3,0.0101549783075906,8.73460476097133,0.00275,0.432470004791257,0.00639067474700556,5,0.5,0.01,1e-07,-81.2197371016779,-43.8162517395561,-77.1606651025903
4,0.419661772789693,9.91933804114957,0.00275,0.32158908617432,0.00596779450871664,5,0.1,0.001,1e-07,-58.321327971643,-52.4407990801097,-53.1786032414669
4,0.419661772789693,9.91933804114957,0.00275,0.32158908617432,0.00596779450871664,5,0.1,0.003,1e-07,-90.6270918610811,-85.7394000852629,-88.8042131197695
4,0.419661772789693,9.91933804114957,0.00275,0.32158908617432,0.00596779450871664,5,0.1,0.005,1e-07,-97.3828687688621,-94.5668106802282,-96.8138722540408
4,0.419661772789693,9.91933804114957,0.00275,0.32158908617432,0.00596779450871664,5,0.1,0.007,1e-07,-99.0902805539443,-97.4171482871495,-98.879841126185
4,0.419661772789693,9.91933804114957,0.00275,0.32158908617432,0.00596779450871664,5,0.1,0.009,1e-07,-99.6083413567865,-98.510169997075,-99.5127296510779
4,0.419661772789693,9.91933804114957,0.00275,0.32158908617432,0.00596779450871664,5,0.1,0.01,1e-07,-99.7240292256827,-98.7995320089385,-99.6548412526483
4,0.419661772789693,9.91933804114957,0.00275,0.32158908617432,0.00596779450871664,5,0.2,0.001,1e-07,-36.8280842028531,-28.1083204938954,-32.4582743169331
4,0.419661772789693,9.91933804114957,0.00275,0.32158908617432,0.00596779450871664,5,0.2,0.003,1e-07,-71.9963329993331,-57.7691665616598,-68.1294512261812
4,0.419661772789693,9.91933804114957,0.00275,0.32158908617432,0.00596779450871664,5,0.2,0.005,1e-07,-86.38564830436,-72.2834268291614,-84.0218496275896
4,0.419661772789693,9.91933804114957,0.00275,0.32158908617432,0.00596779450871664,5,0.2,0.007,1e-07,-92.7862808363131,-80.1181492692207,-91.363748743046
4,0.419661772789693,9.91933804114957,0.00275,0.32158908617432,0.00596779450871664,5,0.2,0.009,1e-07,-95.8266278111231,-84.6416144178498,-94.9240372132999
4,0.419661772789693,9.91933804114957,0.00275,0.32158908617432,0.00596779450871664,5,0.2,0.01,1e-07,-96.7207056354732,-86.1844744852201,-95.982454472849
4,0.419661772789693,9.91933804114957,0.00275,0.32158908617432,0.00596779450871664,5,0.3,0.001,1e-07,-26.3593523254796,-16.9157007026093,-23.2339803383142
4,0.419661772789693,9.91933804114957,0.00275,0.32158908617432,0.00596779450871664,5,0.3,0.003,1e-07,-57.9746225925257,-38.614688503142,-53.9624120748975
