ID,q1,q3,V0,T0,c0,N_frac,R,Delta_viable,Delta_total
31,1.206739132,8.801182903,0.0005,0.05071547,0.005131404,5,0.2,-1.22248497351992,17.0203124173223
31,1.206739132,8.801182903,0.0005,0.05071547,0.005131404,5,0.3,-1.64346894547166,23.0680144104897
31,1.206739132,8.801182903,0.0005,0.05071547,0.005131404,5,0.4,-2.483883122842,27.6096655951805
31,1.206739132,8.801182903,0.0005,0.05071547,0.005131404,5,0.5,-2.80292384158127,30.0763382626382
32,4.354423787,9.039381139,0.0005,0.037393031,0.005096562,5,0.1,-1.63721416431849,7.43779773119757
32,4.354423787,9.039381139,0.0005,0.037393031,0.005096562,5,0.2,-3.02392710556146,13.9335277771789
32,4.354423787,9.039381139,0.0005,0.037393031,0.005096562,5,0.3,-3.85051428433282,18.5391160712375
32,4.354423787,9.039381139,0.0005,0.037393031,0.005096562,5,0.4,-5.29516850345725,21.3776432927733
32,4.354423787,9.039381139,0.0005,0.037393031,0.005096562,5,0.5,-5.69497294830152,22.8896205215149
33,9.589322857,6.630570926,0.0005,0.030581713,0.005078931,5,0.1,-2.82375287479809,5.86872415944384
33,9.589322857,6.630570926,0.0005,0.030581713,0.005078931,5,0.2,-4.94376492252085,10.8163504373134
33,9.589322857,6.630570926,0.0005,0.030581713,0.005078931,5,0.3,-6.1747849114927,14.1568066084389
33,9.589322857,6.630570926,0.0005,0.030581713,0.005078931,5,0.4,-8.02377551577964,15.7605566977599
33,9.589322857,6.630570926,0.0005,0.030581713,0.005078931,5,0.5,-8.58232826918492,16.5325057856367
34,5.447252241,2.709380538,0.0005,0.060348064,0.005156893,5,0.1,-3.97698922039984,4.79347707759445
34,5.447252241,2.709380538,0.0005,0.060348064,0.005156893,5,0.2,-6.98103256469007,8.76324347805051
34,5.447252241,2.709380538,0.0005,0.060348064,0.005156893,5,0.3,-9.00882421016853,11.1443907237541
34,5.447252241,2.709380538,0.0005,0.060348064,0.005156893,5,0.4,-11.3802142849189,12.0404668914363
34,5.447252241,2.709380538,0.0005,0.060348064,0.005156893,5,0.5,-12.5592628787561,12.0519430166258
35,6.995069703,2.531143348,0.0005,0.051571308,0.005133658,5,0.1,-4.2505243419461,4.40140662493056
35,6.995069703,2.531143348,0.0005,0.051571308,0.005133658,5,0.2,-7.39801480311495,8.04265950069853
35,6.995069703,2.531143348,0.0005,0.051571308,0.005133658,5,0.3,-9.50856627487518,10.1773379689252
35,6.995069703,2.531143348,0.0005,0.051571308,0.005133658,5,0.4,-11.9405852572132,10.8726172194484
35,6.995069703,2.531143348,0.0005,0.051571308,0.005133658,5,0.5,-13.1548554091356,10.768884468967
36,3.324650939,8.550430448,0.0005,0.04229685,0.005109332,5,0.1,-1.45668294447459,7.7162501445784
36,3.324650939,8.550430448,0.0005,0.04229685,0.005109332,5,0.2,-2.72588620665605,14.5160777019804
36,3.324650939,8.550430448,0.0005,0.04229685,0.005109332,5,0.3,-3.51790736189573,19.3560390542762
36,3.324650939,8.550430448,0.0005,0.04229685,0.005109332,5,0.4,-4.88095685612521,22.4738362753334
36,3.324650939,8.550430448,0.0005,0.04229685,0.005109332,5,0.5,-5.30682308493421,24.104414226748
37,6.942639112,5.281869317,0.0005,0.040577049,0.005104846,5,0.1,-2.89609774234691,5.88944692692017
37,6.942639112,5.281869317,0.0005,0.040577049,0.005104846,5,0.2,-5.10903343414647,10.8481283550822
37,6.942639112,5.281869317,0.0005,0.040577049,0.005104846,5,0.3,-6.48248471691472,14.1261705532937
37,6.942639112,5.281869317,0.0005,0.040577049,0.005104846,5,0.4,-8.37762992572476,15.7430685928778
37,6.942639112,5.281869317,0.0005,0.040577049,0.005104846,5,0.5,-9.08328745148519,16.3988313766162
38,8.38720734,8.023589229,0.0005,0.030302523,0.005078211,5,0.1,-2.44593494739695,6.33837039907412
38,8.38720734,8.023589229,0.0005,0.030302523,0.005078211,5,0.2,-4.33700190574891,11.7244389363819
38,8.38720734,8.023589229,0.0005,0.030302523,0.005078211,5,0.3,-5.40531229033305,15.4453192032354
38,8.38720734,8.023589229,0.0005,0.030302523,0.005078211,5,0.4,-7.15246713945239,17.3580781028879
38,8.38720734,8.023589229,0.0005,0.030302523,0.005078211,5,0.5,-7.6061455344824,18.3743974478974
39,0.425977972,5.729160287,0.0005,0.084001648,0.005220574,5,0.1,-0.487458293675391,9.30038547887253
39,0.425977972,5.729160287,0.0005,0.084001648,0.005220574,5,0.2,-1.00515408935787,18.0412114566097
39,0.425977972,5.729160287,0.0005,0.084001648,0.005220574,5,0.3,-1.44140267343326,24.5769159436985
39,0.425977972,5.729160287,0.0005,0.084001648,0.005220574,5,0.4,-2.30463811852832,29.6086450290295
39,0.425977972,5.729160287,0.0005,0.084001648,0.005220574,5,0.5,-2.77898952649119,32.3012386693334
40,7.563313367,7.334093828,0.0005,0.033383329,0.005086168,5,0.1,-2.47858145004054,6.33272191171061
40,7.563313367,7.334093828,0.0005,0.033383329,0.005086168,5,0.2,-4.40266457548317,11.7114141883756
40,7.563313367,7.334093828,0.0005,0.033383329,0.005086168,5,0.3,-5.52334669798809,15.3976812608938
40,7.563313367,7.334093828,0.0005,0.033383329,0.005086168,5,0.4,-7.27988212319989,17.3120828830012
40,7.563313367,7.334093828,0.0005,0.033383329,0.005086168,5,0.5,-7.78898353726197,18.2777819735481
41,9.891369149,5.194926158,0.0005,0.032801242,0.005084663,5,0.1,-3.18291301286701,5.45210295760139
41,9.891369149,5.194926158,0.0005,0.032801242,0.005084663,5,0.2,-5.53110763305853,10.0222478188651
41,9.891369149,5.194926158,0.0005,0.032801242,0.005084663,5,0.3,-6.95136787808218,13.01723821592
41,9.891369149,5.194926158,0.0005,0.032801242,0.005084663,5,0.4,-8.90069345544904,14.3713348589221
41,9.891369149,5.194926158,0.0005,0.032801242,0.005084663,5,0.5,-9.60112729877729,14.9027354595363
42,7.544016724,7.711130266,0.0005,0.0326152,0.005084182,5,0.1,-2.40431455272386,6.41743066628016
42,7.544016724,7.711130266,0.0005,0.0326152,0.005084182,5,0.2,-4.27939427015624,11.8777510025608
42,7.544016724,7.711130266,0.0005,0.0326152,0.005084182,5,0.3,-5.36050675758541,15.6403132096439
42,7.544016724,7.711130266,0.0005,0.0326152,0.005084182,5,0.4,-7.09454180872721,17.6139567328598
42,7.544016724,7.711130266,0.0005,0.0326152,0.005084182,5,0.5,-7.57484240476832,18.6344216553124
43,2.982619122,5.692891327,0.0005,0.057880355,0.005150339,5,0.1,-1.99120927990162,7.18815944164779
43,2.982619122,5.692891327,0.0005,0.057880355,0.005150339,5,0.2,-3.6818761737035,13.4180479032716
43,2.982619122,5.692891327,0.0005,0.057880355,0.005150339,5,0.3,-4.81930872746029,17.6906341182749
43,2.982619122,5.692891327,0.0005,0.057880355,0.005150339,5,0.4,-6.46734630428579,20.2699880807508
